address,value,id,date,high,low,open,adj close,volume,close,swing,rsi,sma,ema,macd,signal,bb_up,bb_low,william,vol,onvolume,cmo,dpo,+di,-di,dx,adx,adxr,Target
So11111111111111111111111111111111111111112,187.08301236918666,3620,2024-03-27,187.08301236918666,187.08301236918666,187.08301236918666,187.08301236918666,187.08301236918666,187.08301236918666,-22.255,43.7134,189.1685,188.9178,-1.0518,-0.7168,193.1949,185.1421,-40.5987,1.1113,13075.930459058414,4.7126,2.0699,43.719,56.281,12.5621,14.2753,15.978,0
So11111111111111111111111111111111111111112,188.41831491361737,3619,2024-03-27,188.41831491361737,188.41831491361737,188.41831491361737,188.41831491361737,188.41831491361737,188.41831491361737,31.4944,47.1291,189.1847,189.111,-1.0267,-0.633,193.1799,185.1895,-0.0,0.8934,13263.013471427601,-15.5167,2.8303,47.134,52.866,5.7321,14.4071,16.6364,0
So11111111111111111111111111111111111111112,186.5286516340984,3618,2024-03-27,186.5286516340984,186.5286516340984,186.5286516340984,186.5286516340984,186.5286516340984,186.5286516340984,8.1887,41.0797,189.2891,189.1839,-1.1158,-0.5346,193.3078,185.2704,-68.8836,-0.5388,13074.595156513984,-56.3548,0.0891,41.0868,58.9132,17.8265,15.0744,17.3369,0
So11111111111111111111111111111111111111112,186.03732923391124,3617,2024-03-27,186.03732923391124,186.03732923391124,186.03732923391124,186.03732923391124,186.03732923391124,186.03732923391124,15.1341,39.4078,189.5582,189.4634,-1.0209,-0.3893,193.5221,185.5943,-81.8866,-1.9612,12888.066504879886,-43.2547,-0.4234,39.4136,60.5864,21.1729,14.8627,17.8485,0
So11111111111111111111111111111111111111112,185.12928619455607,3616,2024-03-27,185.12928619455607,185.12928619455607,185.12928619455607,185.12928619455607,185.12928619455607,185.12928619455607,-27.628,36.3043,189.8936,189.824,-0.8349,-0.2315,193.7425,186.0447,-100.0,-2.1918,12702.029175645974,-69.5374,-1.5346,36.3092,63.6908,27.3816,14.3773,18.2041,0
So11111111111111111111111111111111111111112,186.7869643072583,3615,2024-03-27,186.7869643072583,186.7869643072583,186.7869643072583,186.7869643072583,186.7869643072583,186.7869643072583,-47.3253,39.7583,190.3757,190.3182,-0.4928,-0.0806,194.1309,186.6205,-100.0,-0.9273,12887.15846184053,-69.6987,-0.3009,39.7629,60.2371,20.4742,13.377,17.8729,1
So11111111111111111111111111111111111111112,189.62648297374554,3614,2024-03-27,189.62648297374554,189.62648297374554,189.62648297374554,189.62648297374554,189.62648297374554,189.62648297374554,-8.5984,46.8457,190.7756,190.6899,-0.2178,0.0225,194.6193,186.9319,-79.0385,-0.2412,13073.94542614779,-16.2162,2.2513,46.8512,53.1488,6.2975,12.8311,18.0335,0
So11111111111111111111111111111111111111112,190.1423872669998,3613,2024-03-27,190.1423872669998,190.1423872669998,190.1423872669998,190.1423872669998,190.1423872669998,190.1423872669998,17.962,48.3006,191.0531,190.8018,-0.1528,0.0825,195.3048,186.8014,-59.79,-0.7005,13263.571909121534,-31.5231,2.3445,48.304,51.696,3.392,13.3337,18.5623,0
So11111111111111111111111111111111111111112,189.06466643857073,3612,2024-03-27,189.06466643857073,189.06466643857073,189.06466643857073,189.06466643857073,189.06466643857073,189.06466643857073,-16.4148,44.9942,191.3146,190.8712,-0.1202,0.1414,195.9371,186.6921,-100.0,-1.1712,13073.429521854534,-18.4859,0.5981,44.9956,55.0044,10.0088,14.0984,18.8739,0
So11111111111111111111111111111111111111112,190.04955397432258,3611,2024-03-27,190.04955397432258,190.04955397432258,190.04955397432258,190.04955397432258,190.04955397432258,190.04955397432258,-28.2557,47.5747,191.5782,191.0614,0.0329,0.2067,196.2584,186.898,-100.0,-0.1072,13262.494188293105,-26.5875,0.4804,47.5795,52.4205,4.841,14.413,19.6336,0
